objectid,parentid,object_location,,image_small,image_thumb,image_map,top_left_x,top_left_y,bottom_right_x,bottom_right_y,title,creator,date,date-is-approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,display_template,language,rights,rightsstatement
sv_1,,objects/IMG_0097.png,IMG_0097.png,objects/small/img_0097_sm.jpg,objects/thumbs/img_0097_th.jpg,,,,,,Rivers Correctional Institution and Vann Cemetery,,08/29/2023,,"A photo of RCI, taken from the Vann Cemetery. ",plantation; prison,"Winton, Hertford County, North Carolina",36.40508,-76.95947,Photo taken by Andreina Malki,,Image,image/png,image,eng,Open (CC BY-NC 4.0).  Andreina Malki. 2023.,"ndreina Malki, 2023. Licensed under CC BY-NC 4.0. You may share and adapt this work for non-commercial purposes, with attribution."
sv_2,,objects/IMG_0066.png,IMG_0066.png,objects/small/img_0066_sm.jpg,objects/thumbs/img_0066_th.jpg,,,,,,Stop sign located at Parker’s Ferry on the Chowan River,,08/29/2023,,"Stop sign located at Parker’s Ferry on the Chowan River, less than a mile from the RCI property. ",stop sign,"Winton, Hertford County, North Carolina",?,?,Photo taken by Andreina Malki,,Image,image/png,image,eng,Open (CC BY-NC 4.0).  Andreina Malki. 2023.,"ndreina Malki, 2023. Licensed under CC BY-NC 4.0. You may share and adapt this work for non-commercial purposes, with attribution."
sv_3,,objects/IMG_0069.png,IMG_0069.png,objects/small/img_0069_sm.jpg,objects/thumbs/img_0069_th.jpg,,,,,,"Tombstones of John Vann and his wife, Nancy Cross",,08/29/2023,,"Tombstones of John Vann and his wife, Nancy Cross, with the prison watchtower to the rear. The prison watchtower casts a shadow on the landscape of the nine-tombstone plantation-era cemetery connected to the main road by a narrow dirt and gravel road. ",tombstone; John Vann; Nancy Cross; watchtower,"Winton, Hertford County, North Carolina",36.40508,-76.95947,Photo taken by Andreina Malki,,Image,image/png,image,eng,Open (CC BY-NC 4.0).  Andreina Malki. 2023.,"ndreina Malki, 2023. Licensed under CC BY-NC 4.0. You may share and adapt this work for non-commercial purposes, with attribution."
sv_4,,objects/IMG_0070.png,IMG_0070.png,objects/small/img_0070_sm.jpg,objects/thumbs/img_0070_th.jpg,,,,,,Rear view of the tombstones of John A. Vann (1822-1902) and Martha A. Vann (1831-1920),,08/29/2023,,Rear view of the tombstones of John A. Vann (1822-1902) and Martha A. Vann (1831-1920),tombstone; John A. Vann; Martha A. Vann,"Winton, Hertford County, North Carolina",36.40508,-76.95947,Photo taken by Andreina Malki,,Image,image/png,image,eng,Open (CC BY-NC 4.0).  Andreina Malki. 2023.,"ndreina Malki, 2023. Licensed under CC BY-NC 4.0. You may share and adapt this work for non-commercial purposes, with attribution."
sv_5,,objects/IMG_0071.png,IMG_0071.png,objects/small/img_0071_sm.jpg,objects/thumbs/img_0071_th.jpg,,,,,,Tombstone of Henry Vann Rhodes Sr. (1924-2011),,08/29/2023,,Tombstone of Henry Vann Rhodes Sr. (1924-2011),tombstone; Henry Vann Rhodes Sr.,"Winton, Hertford County, North Carolina",36.40508,-76.95947,Photo taken by Andreina Malki,,Image,image/png,image,eng,Open (CC BY-NC 4.0).  Andreina Malki. 2023.,"ndreina Malki, 2023. Licensed under CC BY-NC 4.0. You may share and adapt this work for non-commercial purposes, with attribution."
sv_6,,objects/IMG_0073.png,IMG_0073.png,objects/small/img_0073_sm.jpg,objects/thumbs/img_0073_th.jpg,,,,,,Tombstone of Henry B. Vann,,08/29/2023,,Tombstone of Henry B. Vann,tombstone; Henry B. Vann,"Winton, Hertford County, North Carolina",36.40508,-76.95947,Photo taken by Andreina Malki,,Image,image/png,image,eng,Open (CC BY-NC 4.0).  Andreina Malki. 2023.,"ndreina Malki, 2023. Licensed under CC BY-NC 4.0. You may share and adapt this work for non-commercial purposes, with attribution."
sv_7,,objects/IMG_0073.png,IMG_0073.png,objects/small/img_0073_sm.jpg,objects/thumbs/img_0073_th.jpg,,,,,,"Tombstone of Sallie W. (1858-1915), wife of Henry B. Vann",,08/29/2023,,"Tombstone of Sallie W. (1858-1915), wife of Henry B. Vann, engraved with ""Thy trials ended, thy rest is won""",tombstone; Sally W,"Winton, Hertford County, North Carolina",36.40508,-76.95947,Photo taken by Andreina Malki,,Image,image/png,image,eng,Open (CC BY-NC 4.0).  Andreina Malki. 2023.,"ndreina Malki, 2023. Licensed under CC BY-NC 4.0. You may share and adapt this work for non-commercial purposes, with attribution."
sv_8,,objects/IMG_0074.png,IMG_0074.png,objects/small/img_0074_sm.jpg,objects/thumbs/img_0074_th.jpg,,,,,,Tombstones of William Judson (1857-1934) and Sallie R. Vann (1863-1940),,08/29/2023,,Tombstones of William Judson (1857-1934) and Sallie R. Vann (1863-1940),tombstone; William Judson; Sallie R. Vann,"Winton, Hertford County, North Carolina",36.40508,-76.95947,Photo taken by Andreina Malki,,Image,image/png,image,eng,Open (CC BY-NC 4.0).  Andreina Malki. 2023.,"ndreina Malki, 2023. Licensed under CC BY-NC 4.0. You may share and adapt this work for non-commercial purposes, with attribution."
sv_9,,objects/IMG_0075.png,IMG_0075.png,objects/small/img_0075_sm.jpg,objects/thumbs/img_0075_th.jpg,,,,,,"Tombstone of Robert Lee Vann (1868-1890), son of Martha Vann",,08/29/2023,,"Tombstone of Robert Lee Vann (1868-1890), son of Martha Vann",tombstone; Robert Lee Vann,"Winton, Hertford County, North Carolina",36.40508,-76.95947,Photo taken by Andreina Malki,,Image,image/png,image,eng,Open (CC BY-NC 4.0).  Andreina Malki. 2023.,"ndreina Malki, 2023. Licensed under CC BY-NC 4.0. You may share and adapt this work for non-commercial purposes, with attribution."
sv_10,,objects/IMG_0078.png,IMG_0078.png,objects/small/img_0078_sm.jpg,objects/thumbs/img_0078_th.jpg,,,,,,Tombstone of Harriet L. Vann,,08/29/2023,,Tombstone of Harriet L. Vann,tombstone; Harriet L. Vann,"Winton, Hertford County, North Carolina",36.40508,-76.95947,Photo taken by Andreina Malki,,Image,image/png,image,eng,Open (CC BY-NC 4.0).  Andreina Malki. 2023.,"ndreina Malki, 2023. Licensed under CC BY-NC 4.0. You may share and adapt this work for non-commercial purposes, with attribution."
